"gear_links_name","gear_links_url","gear_links_card_name","gear_links_card_text","gear_links_keywords","gear_links_crafting_reqs_name","gear_links_crafting_reqs_url","gear_links_categories_name","gear_links_categories_url","gear_links_special_rules","gear_links_speed","gear_links_accuracy","gear_links_strength"
"","","","","","","","Uses for Shank Bone","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Shank_Bone","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Gear","https://kingdomdeath.fandom.com/wiki/Category:Gear","","","",""
"","","","","","","","Barber Surgeon Gear","https://kingdomdeath.fandom.com/wiki/Category:Barber_Surgeon_Gear","","","",""
"","","","","","","","Gear with Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Any_Affinities","","","",""
"","","","","","","","Gear with Up Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Any_Affinities","","","",""
"","","","","","","","Gear with Left Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Any_Affinities","","","",""
"","","","","","","","Gear with Down Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Any_Affinities","","","",""
"","","","","","","","Gear with Right Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Any_Affinities","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"First Aid Kit","https://kingdomdeath.fandom.com/wiki/First_Aid_Kit","First Aid Kit","On Arrival, all survivors gain + 3 survival.","item, heavy","Leather","https://kingdomdeath.fandom.com/wiki/Leather","","","","","",""
"First Aid Kit","https://kingdomdeath.fandom.com/wiki/First_Aid_Kit","First Aid Kit","On Arrival, all survivors gain + 3 survival.","item, heavy","Bone","https://kingdomdeath.fandom.com/wiki/Bone","","","","","",""
"","","","","","","","Gear with Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Green_Affinities","","","",""
"","","","","","","","Gear with Up Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Green_Affinities","","","",""
"","","","","","","","Gear with Down Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Green_Affinities","","","",""
"","","","","","","","Gear with Left Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Green_Affinities","","","",""
"","","","","","","","Gear with Right Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Green_Affinities","","","",""
"","","","","","","","Items","https://kingdomdeath.fandom.com/wiki/Category:Items","","","",""
"","","","","","","","Heavy Gear","https://kingdomdeath.fandom.com/wiki/Category:Heavy_Gear","","","",""
"","","","","","","","On Arrival","https://kingdomdeath.fandom.com/wiki/Category:On_Arrival","","","",""
"","","","","","","","Uses for Leather","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Leather","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Gear","https://kingdomdeath.fandom.com/wiki/Category:Gear","","","",""
"","","","","","","","Barber Surgeon Gear","https://kingdomdeath.fandom.com/wiki/Category:Barber_Surgeon_Gear","","","",""
"","","","","","","","Gear with Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Any_Affinities","","","",""
"","","","","","","","Gear with Up Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Any_Affinities","","","",""
"","","","","","","","Gear with Left Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Any_Affinities","","","",""
"","","","","","","","Gear with Down Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Any_Affinities","","","",""
"","","","","","","","Gear with Right Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Any_Affinities","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Musk Bomb","https://kingdomdeath.fandom.com/wiki/Musk_Bomb","Musk Bomb","If adjacent to monster when it draws , you may spend 2 survival and archive Musk bomb to roll 1d10. On a 3+, discard without playing it.","item, stinky, thrown, fragile","Resources","https://kingdomdeath.fandom.com/wiki/Resources","","","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Barber Surgeon Gear","https://kingdomdeath.fandom.com/wiki/Category:Barber_Surgeon_Gear","","","",""
"","","","","","","","Items","https://kingdomdeath.fandom.com/wiki/Category:Items","","","",""
"","","","","","","","Stinky Gear","https://kingdomdeath.fandom.com/wiki/Category:Stinky_Gear","","","",""
"","","","","","","","Thrown Gear","https://kingdomdeath.fandom.com/wiki/Category:Thrown_Gear","","","",""
"","","","","","","","Fragile Gear","https://kingdomdeath.fandom.com/wiki/Category:Fragile_Gear","","","",""
"","","","","","","","Unique Gear","https://kingdomdeath.fandom.com/wiki/Category:Unique_Gear","","","",""
"","","","","","","","Uses for Pottery","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Pottery","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Scavenger Kit","https://kingdomdeath.fandom.com/wiki/Scavenger_Kit","Scavenger Kit","Unique
When you defeat a monster, gain either 1 random basic resource or 1 random monster resource from that monster's resource deck.","item, heavy","Scrap","https://kingdomdeath.fandom.com/wiki/Scrap","","","Unique","","",""
"Scavenger Kit","https://kingdomdeath.fandom.com/wiki/Scavenger_Kit","Scavenger Kit","Unique
When you defeat a monster, gain either 1 random basic resource or 1 random monster resource from that monster's resource deck.","item, heavy","Pelt","https://kingdomdeath.fandom.com/wiki/Pelt","","","Unique","","",""
"","","","","","","","Gear with Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Green_Affinities","","","",""
"","","","","","","","Gear with Down Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Green_Affinities","","","",""
"","","","","","","","Items","https://kingdomdeath.fandom.com/wiki/Category:Items","","","",""
"","","","","","","","Heavy Gear","https://kingdomdeath.fandom.com/wiki/Category:Heavy_Gear","","","",""
"","","","","","","","Unique Gear","https://kingdomdeath.fandom.com/wiki/Category:Unique_Gear","","","",""
"","","","","","","","Uses for Pelt","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Pelt","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Gear","https://kingdomdeath.fandom.com/wiki/Category:Gear","","","",""
"","","","","","","","Barber Surgeon Gear","https://kingdomdeath.fandom.com/wiki/Category:Barber_Surgeon_Gear","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Speed Powder","https://kingdomdeath.fandom.com/wiki/Speed_Powder","Speed Powder",": Suffer 2 brain damage. Gain +1 speed token. Use once per showdown.","item, soluble","Second Heart","https://kingdomdeath.fandom.com/wiki/Second_Heart","","","","","",""
"Speed Powder","https://kingdomdeath.fandom.com/wiki/Speed_Powder","Speed Powder",": Suffer 2 brain damage. Gain +1 speed token. Use once per showdown.","item, soluble","Organ","https://kingdomdeath.fandom.com/wiki/Organ","","","","","",""
"","","","","","","","Gear with Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Blue_Affinities","","","",""
"","","","","","","","Gear with Right Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Blue_Affinities","","","",""
"","","","","","","","Items","https://kingdomdeath.fandom.com/wiki/Category:Items","","","",""
"","","","","","","","Soluble Gear","https://kingdomdeath.fandom.com/wiki/Category:Soluble_Gear","","","",""
"","","","","","","","Use Once per Showdown","https://kingdomdeath.fandom.com/wiki/Category:Use_Once_per_Showdown","","","",""
"","","","","","","","Uses for Second Heart","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Second_Heart","","","",""
"","","","","","","","Gear","https://kingdomdeath.fandom.com/wiki/Category:Gear","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Barber Surgeon Gear","https://kingdomdeath.fandom.com/wiki/Category:Barber_Surgeon_Gear","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Beacon Shield","https://kingdomdeath.fandom.com/wiki/Beacon_Shield","Beacon Shield","Add 2 to all hit locations.","weapon, melee, shield, metal, heavy","Iron","https://kingdomdeath.fandom.com/wiki/Iron","","","Block 2","1","6+","5"
"Beacon Shield","https://kingdomdeath.fandom.com/wiki/Beacon_Shield","Beacon Shield","Add 2 to all hit locations.","weapon, melee, shield, metal, heavy","Leather","https://kingdomdeath.fandom.com/wiki/Leather","","","Block 2","1","6+","5"
"Beacon Shield","https://kingdomdeath.fandom.com/wiki/Beacon_Shield","Beacon Shield","Add 2 to all hit locations.","weapon, melee, shield, metal, heavy","Bone","https://kingdomdeath.fandom.com/wiki/Bone","","","Block 2","1","6+","5"
"","","","","","","","Melee Weapons","https://kingdomdeath.fandom.com/wiki/Category:Melee_Weapons","","","",""
"","","","","","","","Shields","https://kingdomdeath.fandom.com/wiki/Category:Shields","","","",""
"","","","","","","","Metal Gear","https://kingdomdeath.fandom.com/wiki/Category:Metal_Gear","","","",""
"","","","","","","","Heavy Gear","https://kingdomdeath.fandom.com/wiki/Category:Heavy_Gear","","","",""
"","","","","","","","Gear with Block","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Block","","","",""
"","","","","","","","Uses for Iron","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Iron","","","",""
"","","","","","","","Uses for Leather","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Leather","","","",""
"","","","","","","","Blacksmith Gear","https://kingdomdeath.fandom.com/wiki/Category:Blacksmith_Gear","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Dragon Slayer","https://kingdomdeath.fandom.com/wiki/Dragon_Slayer","Dragon Slayer","Frail, Slow, Sharp, Devastating 1
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, grand weapon, two-handed, heavy, metal","Iron","https://kingdomdeath.fandom.com/wiki/Iron","","","Frail, Slow, Sharp, Devastating 1, Early Iron","1","6+","9"
"Dragon Slayer","https://kingdomdeath.fandom.com/wiki/Dragon_Slayer","Dragon Slayer","Frail, Slow, Sharp, Devastating 1
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, grand weapon, two-handed, heavy, metal","Organ","https://kingdomdeath.fandom.com/wiki/Organ","","","Frail, Slow, Sharp, Devastating 1, Early Iron","1","6+","9"
"","","","","","","","Melee Weapons","https://kingdomdeath.fandom.com/wiki/Category:Melee_Weapons","","","",""
"","","","","","","","Grand Weapons","https://kingdomdeath.fandom.com/wiki/Category:Grand_Weapons","","","",""
"","","","","","","","Two-Handed Weapons","https://kingdomdeath.fandom.com/wiki/Category:Two-Handed_Weapons","","","",""
"","","","","","","","Heavy Gear","https://kingdomdeath.fandom.com/wiki/Category:Heavy_Gear","","","",""
"","","","","","","","Metal Gear","https://kingdomdeath.fandom.com/wiki/Category:Metal_Gear","","","",""
"","","","","","","","Frail Gear","https://kingdomdeath.fandom.com/wiki/Category:Frail_Gear","","","",""
"","","","","","","","Gear with Slow","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Slow","","","",""
"","","","","","","","Weapons with Sharp","https://kingdomdeath.fandom.com/wiki/Category:Weapons_with_Sharp","","","",""
"","","","","","","","Devastating Gear","https://kingdomdeath.fandom.com/wiki/Category:Devastating_Gear","","","",""
"","","","","","","","Gear with Early Iron","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Early_Iron","","","",""
"","","","","","","","Gear with Red Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Red_Affinities","","","",""
"","","","","","","","Gear with Right Red Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Red_Affinities","","","",""
"","","","","","","","Gear with Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Blue_Affinities","","","",""
"","","","","","","","Gear with Up Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Blue_Affinities","","","",""
"","","","","","","","Uses for Iron","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Iron","","","",""
"","","","","","","","Gear","https://kingdomdeath.fandom.com/wiki/Category:Gear","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Weapons","https://kingdomdeath.fandom.com/wiki/Category:Weapons","","","",""
"","","","","","","","Blacksmith Gear","https://kingdomdeath.fandom.com/wiki/Category:Blacksmith_Gear","","","",""
"","","","","","","","Gear with Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Any_Affinities","","","",""
"","","","","","","","Gear with Up Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Any_Affinities","","","",""
"","","","","","","","Gear with Left Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Any_Affinities","","","",""
"","","","","","","","Gear with Down Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Any_Affinities","","","",""
"","","","","","","","Gear with Right Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Any_Affinities","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"","","","","","","","Uses for Paint","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Paint","","","",""
"Lantern Cuirass","https://kingdomdeath.fandom.com/wiki/Lantern_Cuirass","Lantern Cuirass","-2 movement.","armor, set, metal, heavy","Iron","https://kingdomdeath.fandom.com/wiki/Iron","","","Affinity Bonus","","",""
"Lantern Cuirass","https://kingdomdeath.fandom.com/wiki/Lantern_Cuirass","Lantern Cuirass","-2 movement.","armor, set, metal, heavy","Leather","https://kingdomdeath.fandom.com/wiki/Leather","","","Affinity Bonus","","",""
"Lantern Cuirass","https://kingdomdeath.fandom.com/wiki/Lantern_Cuirass","Lantern Cuirass","-2 movement.","armor, set, metal, heavy","Lantern Armor","https://kingdomdeath.fandom.com/wiki/Lantern_Armor","","","Affinity Bonus","","",""
"","","","","","","","Body Armor","https://kingdomdeath.fandom.com/wiki/Category:Body_Armor","","","",""
"","","","","","","","Metal Gear","https://kingdomdeath.fandom.com/wiki/Category:Metal_Gear","","","",""
"","","","","","","","Heavy Gear","https://kingdomdeath.fandom.com/wiki/Category:Heavy_Gear","","","",""
"","","","","","","","Gear with Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Green_Affinities","","","",""
"","","","","","","","Gear with Left Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Green_Affinities","","","",""
"","","","","","","","Gear with Right Green Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Green_Affinities","","","",""
"","","","","","","","Gear with Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Blue_Affinities","","","",""
"","","","","","","","Gear with Up Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Blue_Affinities","","","",""
"","","","","","","","Gear with Down Blue Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Blue_Affinities","","","",""
"","","","","","","","Uses for Iron","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Iron","","","",""
"","","","","","","","Uses for Leather","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Leather","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Gear","https://kingdomdeath.fandom.com/wiki/Category:Gear","","","",""
"","","","","","","","Armor","https://kingdomdeath.fandom.com/wiki/Category:Armor","","","",""
"","","","","","","","Blacksmith Gear","https://kingdomdeath.fandom.com/wiki/Category:Blacksmith_Gear","","","",""
"","","","","","","","Gear with Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Any_Affinities","","","",""
"","","","","","","","Gear with Up Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Any_Affinities","","","",""
"","","","","","","","Gear with Left Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Any_Affinities","","","",""
"","","","","","","","Gear with Down Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Any_Affinities","","","",""
"","","","","","","","Gear with Right Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Any_Affinities","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Lantern_Dagger","Lantern Dagger","Paired
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, dagger, finesse, metal","Iron","https://kingdomdeath.fandom.com/wiki/Iron","","","Sharp, Early Iron, Paired","2","7+","1"
"Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Lantern_Dagger","Lantern Dagger","Paired
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, dagger, finesse, metal","Leather","https://kingdomdeath.fandom.com/wiki/Leather","","","Sharp, Early Iron, Paired","2","7+","1"
"Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Lantern_Dagger","Lantern Dagger","Paired
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, dagger, finesse, metal","Bone","https://kingdomdeath.fandom.com/wiki/Bone","","","Sharp, Early Iron, Paired","2","7+","1"
"","","","","","","","Daggers","https://kingdomdeath.fandom.com/wiki/Category:Daggers","","","",""
"","","","","","","","Metal Gear","https://kingdomdeath.fandom.com/wiki/Category:Metal_Gear","","","",""
"","","","","","","","Weapons with Sharp","https://kingdomdeath.fandom.com/wiki/Category:Weapons_with_Sharp","","","",""
"","","","","","","","Gear with Early Iron","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Early_Iron","","","",""
"","","","","","","","Gear with Finesse","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Finesse","","","",""
"","","","","","","","Melee Weapons","https://kingdomdeath.fandom.com/wiki/Category:Melee_Weapons","","","",""
"","","","","","","","Paired Weapons","https://kingdomdeath.fandom.com/wiki/Category:Paired_Weapons","","","",""
"","","","","","","","Gear with Red Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Red_Affinities","","","",""
"","","","","","","","Gear with Left Red Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Red_Affinities","","","",""
"","","","","","","","Uses for Iron","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Iron","","","",""
"","","","","","","","Uses for Leather","https://kingdomdeath.fandom.com/wiki/Category:Uses_for_Leather","","","",""
"","","","","","","","Cards","https://kingdomdeath.fandom.com/wiki/Category:Cards","","","",""
"","","","","","","","Blacksmith Gear","https://kingdomdeath.fandom.com/wiki/Category:Blacksmith_Gear","","","",""
"","","","","","","","Gear with Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Any_Affinities","","","",""
"","","","","","","","Gear with Up Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Up_Any_Affinities","","","",""
"","","","","","","","Gear with Left Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Left_Any_Affinities","","","",""
"","","","","","","","Gear with Down Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Down_Any_Affinities","","","",""
"","","","","","","","Gear with Right Any Affinities","https://kingdomdeath.fandom.com/wiki/Category:Gear_with_Right_Any_Affinities","","","",""
"","","","","","","","Core Game Gear","https://kingdomdeath.fandom.com/wiki/Category:Core_Game_Gear","","","",""
"Lantern Gauntlets","https://kingdomdeath.fandom.com/wiki/Lantern_Gauntlets","Lantern Gauntlets","Affinity Bonus: +2 accuracy with club weapons.","armor, set, metal, heavy","Iron","https://kingdomdeath.fandom.com/wiki/Iron","","","Affinity Bonus","","",""
