"gear_links_name","gear_links_url","gear_links_card_name","gear_links_card_text","gear_links_keywords","gear_links_craft_blurb","gear_links_crafting_reqs_name","gear_links_categories_name","gear_links_special_rules","gear_links_armor_points_name","gear_links_speed","gear_links_accuracy","gear_links_strength","gear_links_required_for_name"
"","","","","","","","Jewelry","","","","","",""
"","","","","","","","On Arrival","","","","","",""
"","","","","","","","Uses for Shank Bone","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Barber Surgeon Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"First Aid Kit","https://kingdomdeath.fandom.com/wiki/First_Aid_Kit","First Aid Kit","On Arrival, all survivors gain + 3 survival.","item, heavy",": Remove 1 bleeding or negative attribute token from yourself or an adjacent survivor.","1x Leather","","","","","","",""
"First Aid Kit","https://kingdomdeath.fandom.com/wiki/First_Aid_Kit","First Aid Kit","On Arrival, all survivors gain + 3 survival.","item, heavy",": Remove 1 bleeding or negative attribute token from yourself or an adjacent survivor.","2x Bone","","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Up Green Affinities","","","","","",""
"","","","","","","","Gear with Down Green Affinities","","","","","",""
"","","","","","","","Gear with Left Green Affinities","","","","","",""
"","","","","","","","Gear with Right Green Affinities","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","On Arrival","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Barber Surgeon Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Musk Bomb","https://kingdomdeath.fandom.com/wiki/Musk_Bomb","Musk Bomb","If adjacent to monster when it draws , you may spend 2 survival and archive Musk bomb to roll 1d10. On a 3+, discard without playing it.","item, stinky, thrown, fragile","Musk Bomb may be crafted once the Barber Surgeon settlement location has been built.","7x Resources","","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Barber Surgeon Gear","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Stinky Gear","","","","","",""
"","","","","","","","Thrown Gear","","","","","",""
"","","","","","","","Fragile Gear","","","","","",""
"","","","","","","","Unique Gear","","","","","",""
"","","","","","","","Uses for Pottery","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Scavenger Kit","https://kingdomdeath.fandom.com/wiki/Scavenger_Kit","Scavenger Kit","Unique
When you defeat a monster, gain either 1 random basic resource or 1 random monster resource from that monster's resource deck.","item, heavy","Scavenger Kit may be crafted once the Barber Surgeon settlement location has been built.","","","Unique","Unique","","","",""
"","","","","","","1x Scrap","","","","","","",""
"","","","","","","1x Pelt","","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Down Green Affinities","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Unique Gear","","","","","",""
"","","","","","","","Uses for Pelt","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Barber Surgeon Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Speed Powder","https://kingdomdeath.fandom.com/wiki/Speed_Powder","Speed Powder",": Suffer 2 brain damage. Gain +1 speed token. Use once per showdown.","item, soluble","Speed Powder may be crafted once the Barber Surgeon settlement location has been built.","1x Second Heart","","","","","","",""
"Speed Powder","https://kingdomdeath.fandom.com/wiki/Speed_Powder","Speed Powder",": Suffer 2 brain damage. Gain +1 speed token. Use once per showdown.","item, soluble","Speed Powder may be crafted once the Barber Surgeon settlement location has been built.","2x Organ","","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Right Blue Affinities","","","","","",""
"","","","","","","","Items","","","","","",""
"","","","","","","","Soluble Gear","","","","","",""
"","","","","","","","Use Once per Showdown","","","","","",""
"","","","","","","","Uses for Second Heart","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Barber Surgeon Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Beacon Shield","https://kingdomdeath.fandom.com/wiki/Beacon_Shield","Beacon Shield","Add 2 to all hit locations.","weapon, melee, shield, metal, heavy","Block 2: Spend to ignore 2 hits the next time you are attacked. Lasts until your next act. You cannot use block more than once per attack.","","","Block 2","Block 2","1","6+","5",""
"","","","","","","2x Iron","","","","","","",""
"","","","","","","3x Leather","","","","","","",""
"","","","","","","4x Bone","","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Shields","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Gear with Block","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Dragon Slayer","https://kingdomdeath.fandom.com/wiki/Dragon_Slayer","Dragon Slayer","Frail, Slow, Sharp, Devastating 1
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, grand weapon, two-handed, heavy, metal","Dragon Slayer may be crafted once the Blacksmith settlement location has been built.","","","Frail, Slow, Sharp, Devastating 1, Early Iron","Frail","1","6+","9",""
"Dragon Slayer","https://kingdomdeath.fandom.com/wiki/Dragon_Slayer","Dragon Slayer","Frail, Slow, Sharp, Devastating 1
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, grand weapon, two-handed, heavy, metal","Dragon Slayer may be crafted once the Blacksmith settlement location has been built.","","","Frail, Slow, Sharp, Devastating 1, Early Iron","Slow","1","6+","9",""
"Dragon Slayer","https://kingdomdeath.fandom.com/wiki/Dragon_Slayer","Dragon Slayer","Frail, Slow, Sharp, Devastating 1
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, grand weapon, two-handed, heavy, metal","Dragon Slayer may be crafted once the Blacksmith settlement location has been built.","","","Frail, Slow, Sharp, Devastating 1, Early Iron","Sharp","1","6+","9",""
"Dragon Slayer","https://kingdomdeath.fandom.com/wiki/Dragon_Slayer","Dragon Slayer","Frail, Slow, Sharp, Devastating 1
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, grand weapon, two-handed, heavy, metal","Dragon Slayer may be crafted once the Blacksmith settlement location has been built.","","","Frail, Slow, Sharp, Devastating 1, Early Iron","Devastating 1","1","6+","9",""
"Dragon Slayer","https://kingdomdeath.fandom.com/wiki/Dragon_Slayer","Dragon Slayer","Frail, Slow, Sharp, Devastating 1
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, grand weapon, two-handed, heavy, metal","Dragon Slayer may be crafted once the Blacksmith settlement location has been built.","","","Frail, Slow, Sharp, Devastating 1, Early Iron","Early Iron","1","6+","9",""
"","","","","","","5x Iron","","","","","","",""
"","","","","","","3x Organ","","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Grand Weapons","","","","","",""
"","","","","","","","Two-Handed Weapons","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Frail Gear","","","","","",""
"","","","","","","","Gear with Slow","","","","","",""
"","","","","","","","Weapons with Sharp","","","","","",""
"","","","","","","","Devastating Gear","","","","","",""
"","","","","","","","Gear with Early Iron","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Right Red Affinities","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Up Blue Affinities","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Weapons","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","Uses for Paint","","","","","",""
"Lantern Cuirass","https://kingdomdeath.fandom.com/wiki/Lantern_Cuirass","Lantern Cuirass","-2 movement.","armor, set, metal, heavy","Affinity Bonus: When you depart, add","","","Affinity Bonus","Armor Points","","","",""
"Lantern Cuirass","https://kingdomdeath.fandom.com/wiki/Lantern_Cuirass","Lantern Cuirass","-2 movement.","armor, set, metal, heavy","Affinity Bonus: When you depart, add","","","Affinity Bonus","5","","","",""
"Lantern Cuirass","https://kingdomdeath.fandom.com/wiki/Lantern_Cuirass","Lantern Cuirass","-2 movement.","armor, set, metal, heavy","Affinity Bonus: When you depart, add","","","Affinity Bonus","Affinity Bonus","","","",""
"","","","","","","2x Iron","","","","","","",""
"","","","","","","5x Leather","","","","","","",""
"","","","","","","","Body Armor","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Left Green Affinities","","","","","",""
"","","","","","","","Gear with Right Green Affinities","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Up Blue Affinities","","","","","",""
"","","","","","","","Gear with Down Blue Affinities","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Armor","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","","","","","","","Lantern Armor"
"Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Lantern_Dagger","Lantern Dagger","Paired
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, dagger, finesse, metal","Lantern Dagger may be crafted once the Blacksmith settlement location has been built.","","","Sharp, Early Iron, Paired","Sharp","2","7+","1",""
"Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Lantern_Dagger","Lantern Dagger","Paired
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, dagger, finesse, metal","Lantern Dagger may be crafted once the Blacksmith settlement location has been built.","","","Sharp, Early Iron, Paired","Early Iron","2","7+","1",""
"Lantern Dagger","https://kingdomdeath.fandom.com/wiki/Lantern_Dagger","Lantern Dagger","Paired
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, dagger, finesse, metal","Lantern Dagger may be crafted once the Blacksmith settlement location has been built.","","","Sharp, Early Iron, Paired","Paired","2","7+","1",""
"","","","","","","1x Iron","","","","","","",""
"","","","","","","4x Leather","","","","","","",""
"","","","","","","2x Bone","","","","","","",""
"","","","","","","","Daggers","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Weapons with Sharp","","","","","",""
"","","","","","","","Gear with Early Iron","","","","","",""
"","","","","","","","Gear with Finesse","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Paired Weapons","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Left Red Affinities","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Lantern Gauntlets","https://kingdomdeath.fandom.com/wiki/Lantern_Gauntlets","Lantern Gauntlets","Affinity Bonus: +2 accuracy with club weapons.","armor, set, metal, heavy","Lantern Gauntlets may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","Armor Points","","","",""
"Lantern Gauntlets","https://kingdomdeath.fandom.com/wiki/Lantern_Gauntlets","Lantern Gauntlets","Affinity Bonus: +2 accuracy with club weapons.","armor, set, metal, heavy","Lantern Gauntlets may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","5","","","",""
"Lantern Gauntlets","https://kingdomdeath.fandom.com/wiki/Lantern_Gauntlets","Lantern Gauntlets","Affinity Bonus: +2 accuracy with club weapons.","armor, set, metal, heavy","Lantern Gauntlets may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","Affinity Bonus","","","",""
"","","","","","","2x Iron","","","","","","",""
"","","","","","","6x Leather","","","","","","",""
"","","","","","","","Arm Armor","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Left Green Affinities","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Armor","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Lantern Glaive","https://kingdomdeath.fandom.com/wiki/Lantern_Glaive","Lantern Glaive","Reach 2
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, spear, axe, two-handed, finesse, metal","Lantern Glaive may be crafted once the Blacksmith settlement location has been built.","","","Sharp, Early Iron, Reach 2","Sharp","2","6+","4",""
"Lantern Glaive","https://kingdomdeath.fandom.com/wiki/Lantern_Glaive","Lantern Glaive","Reach 2
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, spear, axe, two-handed, finesse, metal","Lantern Glaive may be crafted once the Blacksmith settlement location has been built.","","","Sharp, Early Iron, Reach 2","Early Iron","2","6+","4",""
"Lantern Glaive","https://kingdomdeath.fandom.com/wiki/Lantern_Glaive","Lantern Glaive","Reach 2
Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, spear, axe, two-handed, finesse, metal","Lantern Glaive may be crafted once the Blacksmith settlement location has been built.","","","Sharp, Early Iron, Reach 2","Reach 2","2","6+","4",""
"","","","","","","2x Iron","","","","","","",""
"","","","","","","2x Leather","","","","","","",""
"","","","","","","4x Bone","","","","","","",""
"","","","","","","","Axes","","","","","",""
"","","","","","","","Spears","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Two-Handed Weapons","","","","","",""
"","","","","","","","Weapons with Sharp","","","","","",""
"","","","","","","","Gear with Finesse","","","","","",""
"","","","","","","","Gear with Early Iron","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Down Green Affinities","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Weapons","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Lantern Greaves","https://kingdomdeath.fandom.com/wiki/Lantern_Greaves","Lantern Greaves","Affinity Bonus: +2 Movement.","armor, set, metal, heavy","Lantern Greaves may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","Armor Points","","","",""
"Lantern Greaves","https://kingdomdeath.fandom.com/wiki/Lantern_Greaves","Lantern Greaves","Affinity Bonus: +2 Movement.","armor, set, metal, heavy","Lantern Greaves may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","5","","","",""
"Lantern Greaves","https://kingdomdeath.fandom.com/wiki/Lantern_Greaves","Lantern Greaves","Affinity Bonus: +2 Movement.","armor, set, metal, heavy","Lantern Greaves may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","Affinity Bonus","","","",""
"","","","","","","1x Iron","","","","","","",""
"","","","","","","5x Leather","","","","","","",""
"","","","","","","","Leg Armor","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Left Red Affinities","","","","","",""
"","","","","","","","Gear with Right Red Affinities","","","","","",""
"","","","","","","","Gear with Blue Affinities","","","","","",""
"","","","","","","","Gear with Up Blue Affinities","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Uses for Leather","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","","","","","","","Lantern Armor"
"","","","","","","","","","","","","","Warlord Armor"
"Lantern Helm","https://kingdomdeath.fandom.com/wiki/Lantern_Helm","Lantern Helm","Affinity Bonus: Ear Plugs. You are deaf. -1 accuracy.","armor, set, metal, heavy","Lantern Helm may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","Armor Points","","","",""
"Lantern Helm","https://kingdomdeath.fandom.com/wiki/Lantern_Helm","Lantern Helm","Affinity Bonus: Ear Plugs. You are deaf. -1 accuracy.","armor, set, metal, heavy","Lantern Helm may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","5","","","",""
"Lantern Helm","https://kingdomdeath.fandom.com/wiki/Lantern_Helm","Lantern Helm","Affinity Bonus: Ear Plugs. You are deaf. -1 accuracy.","armor, set, metal, heavy","Lantern Helm may be crafted once the Blacksmith settlement location has been built.","","","Affinity Bonus","Affinity Bonus","","","",""
"","","","","","","1x Iron","","","","","","",""
"","","","","","","7x Bone","","","","","","",""
"","","","","","","","Head Armor","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","","","","","","","Lantern Armor"
"Lantern Mail","https://kingdomdeath.fandom.com/wiki/Lantern_Mail","Lantern Mail","Lantern Mail may be crafted once the Blacksmith settlement location has been built.","armor, set, metal, heavy","","","","5","Armor Points","","","",""
"Lantern Mail","https://kingdomdeath.fandom.com/wiki/Lantern_Mail","Lantern Mail","Lantern Mail may be crafted once the Blacksmith settlement location has been built.","armor, set, metal, heavy","","","","5","5","","","",""
"","","","","","","1x Iron","","","","","","",""
"","","","","","","5x Organ","","","","","","",""
"","","","","","","","Waist Armor","","","","","",""
"","","","","","","","Heavy Gear","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Gear with Green Affinities","","","","","",""
"","","","","","","","Gear with Right Green Affinities","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Gear","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"","","","","","","","","","","","","","Lantern Armor"
"","","","","","","","","","","","","","Warlord Armor"
"Lantern Sword","https://kingdomdeath.fandom.com/wiki/Lantern_Sword","Lantern Sword","Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, sword, finesse, metal","The Lantern Sword may be crafted once the Blacksmith settlement location has been built.","","","Sharp, Early Iron","Sharp","3","5+","3",""
"Lantern Sword","https://kingdomdeath.fandom.com/wiki/Lantern_Sword","Lantern Sword","Sharp: Add 1d10 Strength to each wound attempt.
Early Iron: When an attack roll result is 1, cancel any hits and end the attack.","weapon, melee, sword, finesse, metal","The Lantern Sword may be crafted once the Blacksmith settlement location has been built.","","","Sharp, Early Iron","Early Iron","3","5+","3",""
"","","","","","","1x Iron","","","","","","",""
"","","","","","","5x Bone","","","","","","",""
"","","","","","","3x Hide","","","","","","",""
"","","","","","","","Swords","","","","","",""
"","","","","","","","Weapons with Sharp","","","","","",""
"","","","","","","","Gear with Finesse","","","","","",""
"","","","","","","","Metal Gear","","","","","",""
"","","","","","","","Melee Weapons","","","","","",""
"","","","","","","","Gear with Red Affinities","","","","","",""
"","","","","","","","Gear with Left Red Affinities","","","","","",""
"","","","","","","","Gear with Early Iron","","","","","",""
"","","","","","","","Uses for Iron","","","","","",""
"","","","","","","","Cards","","","","","",""
"","","","","","","","Blacksmith Gear","","","","","",""
"","","","","","","","Gear with Any Affinities","","","","","",""
"","","","","","","","Gear with Up Any Affinities","","","","","",""
"","","","","","","","Gear with Left Any Affinities","","","","","",""
"","","","","","","","Gear with Down Any Affinities","","","","","",""
"","","","","","","","Gear with Right Any Affinities","","","","","",""
"","","","","","","","Core Game Gear","","","","","",""
"Perfect Slayer","https://kingdomdeath.fandom.com/wiki/Perfect_Slayer","Perfect Slayer","Perfect Slayer is a gear card found in the Kingdom Death: Monster Core Game.","weapon, melee, grand weapon, two-handed, sword, heavy, finesse, metal","Slow, Sharp, Devastating 2, Irreplaceable
-2 movement.","","","Slow, Sharp, Devastating 2, Irreplaceable","Slow","3","6+","14",""
